,rating,reviews
0,2,he explained initially that it takes 4-5 sitings and its total treatment cost is is about 10000 rupees but the total treatment he charged 22250 rupees including medicinesthe estimation of treatment is false
1,5,great dr definitely recommend he recommends less medicine and explain everything and provide solutions
2,1,doctor came and spent 9 seconds and recommended for nose throat endoscopy & some hearing test it was night 10 and hearing test doctor is not avilable does it make sense? charges for endoscopy is 2400 rs and same doctor is going to perform i request hospital to have some humanity ground and spend some time with the patient atleast 10 mins before remondening tests in the same hospital as per the pictures at the hospital dr spent good amount time in west and europe kindly request inherit some portion of good from west on recommending tests and spending time with patients if this is situation like this i do not recommended this hospital to any one
3,1,i am completely satisfied with the consultation i have been having acute severe bronchitis and acute laringitis for the last 20 days which i was not aware of i have consulted a doctor from different hospital earlier and i wasn't advised for any test or any x-ray as that doctor didn't gave me a proper treatment i had to consult dr murali i m extremely happy that i came here came to know about what actually had happened to me the dr is so friendly listened to very well and understood what issues i had and explained me well about the health issues i had and how to get away from it was advised by the doctor to consult in next 15 days
4,1,my experience was nice dr dyed was cool and compose patiently listened to my medication history and gave simple treatment hopefully i should be ok post 3 course of days i will recommend people for his medication
5,1,doctor was not serious i explained the medical condition of my mother and the reports but he was least interested and proposed to visit another specialist in apollo jubilee hills
6,2,the doctor is very experienced and friendly it's just been a day since i started the medicine and i can already see the result i strongly recommend him to all of you who are looking for a good dermatologist
7,1,very friendly and decent explanation of illness and the medicine usage explanation also patient to hear the problems
8,1,the pricing and the way of treating the patients is perfect i strongly recommend
9,1,not available on time need to improve availability when emergency
10,2,last time my self i was effected with bellâ€™s palsy with the doctor treatment and his concern on his patient was very realistic
11,1,worst doctor they are not at all qualified they are working only for money playing with feelings of peoples peoples think that doctors are like god but they are cheating peoples and not at all giving good treatment to peoples fake doctors
12,1,i felt a lot better after the treatment though the overall experience was just moderate being the main agenda apollo is not so great in their service and hospitality also they suggest so many tests that are too expensive
13,5,he is good caring acurate
14,1,i am found his name at online but i expect will get appointment through the online another day got appointment i am very joyful and next day i am dial to his mobnumber and talking about the health problem after days i go to his clinic frankly talkinghe is a very gentlemani wish good luck for the future lifei gratefulto you at my life i think that your noble character will get famous dr in gty
15,1,visited for one month problem not resolved loss of time and money high cost medicine and lotions patient suffered a lot with use less treatment consulted another doctor with just one visit issue resolved permanently
16,1,i visited the doctor for running nose issue but very disappointed with the doctor response he spent 30 seconds with us and written tests for 13k i just came out of the consultation room i told front office guy that i am not prepared for tests then he took me to the doctor again then he wrote 3 tablets front office guys forced me to take medicines from their medical shop never go to this doctor and never suggest to any
17,1,very harsh doesn't listen to what we say i wouldn't recommend to anyone he doesn't have patience
